epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,1061.85,0.91311,1.53647,0.71134,1.17977,0.90381,0.78344,0.85372,0.62961,0.90381,0.78344,0.85552,0.58932,0.95633,1.49801,0.70218,1.211,0.0010892,0.0010892,0.0010892
48,1084.48,0.88766,1.50792,0.69041,1.16955,0.94188,0.77418,0.86588,0.65294,0.94576,0.77736,0.85768,0.61504,0.88844,1.4409,0.64172,1.17021,0.0010694,0.0010694,0.0010694
49,1106.86,0.88176,1.50648,0.69341,1.15869,0.8953,0.76248,0.85561,0.64137,0.90277,0.76885,0.85208,0.59797,0.91245,1.45437,0.66472,1.16346,0.0010496,0.0010496,0.0010496
50,1129.17,0.86837,1.48475,0.66182,1.14792,0.89732,0.77931,0.85673,0.64593,0.90833,0.78887,0.87546,0.60641,0.92162,1.41958,0.63686,1.17405,0.0010298,0.0010298,0.0010298
51,1151.73,0.89164,1.5122,0.68225,1.15848,0.92088,0.74135,0.84744,0.62715,0.92065,0.73567,0.83642,0.58222,0.95484,1.51274,0.71502,1.19609,0.00101,0.00101,0.00101
52,1174.05,0.8637,1.48574,0.6674,1.15092,0.92083,0.78344,0.87535,0.67612,0.92188,0.78025,0.86584,0.6141,0.87892,1.4271,0.59162,1.14705,0.0009902,0.0009902,0.0009902
53,1196.61,0.86756,1.4584,0.65208,1.15799,0.90465,0.78662,0.85067,0.63156,0.91559,0.79455,0.86216,0.59593,0.94388,1.45373,0.67743,1.19356,0.0009704,0.0009704,0.0009704
54,1219.26,0.84684,1.42875,0.64583,1.13337,0.91834,0.76752,0.85959,0.65305,0.88603,0.79618,0.86137,0.60286,0.90591,1.43258,0.65404,1.16603,0.0009506,0.0009506,0.0009506
55,1241.59,0.836,1.44868,0.64381,1.13363,0.90121,0.75537,0.84027,0.6274,0.90303,0.77109,0.83448,0.58488,0.94621,1.45756,0.68419,1.191,0.0009308,0.0009308,0.0009308
56,1264.16,0.85134,1.44543,0.66201,1.13754,0.89691,0.80353,0.8724,0.65156,0.89335,0.80034,0.86035,0.61699,0.89557,1.45448,0.64301,1.15555,0.000911,0.000911,0.000911
57,1286.61,0.82442,1.4327,0.62744,1.12091,0.89324,0.79938,0.87203,0.65577,0.89324,0.79938,0.85565,0.60546,0.86331,1.46407,0.61193,1.15077,0.0008912,0.0008912,0.0008912
58,1308.94,0.82625,1.4354,0.62563,1.12911,0.88202,0.80951,0.86822,0.64993,0.88923,0.81811,0.8709,0.61622,0.90944,1.43132,0.61803,1.14668,0.0008714,0.0008714,0.0008714
59,1331.64,0.82596,1.41626,0.63279,1.13101,0.91217,0.79382,0.86095,0.65595,0.91949,0.80019,0.8596,0.60134,0.88312,1.46509,0.64622,1.15408,0.0008516,0.0008516,0.0008516
60,1354.05,0.8102,1.42351,0.61905,1.11909,0.94617,0.79299,0.87565,0.65999,0.94997,0.79618,0.87114,0.6273,0.88109,1.41407,0.61294,1.14665,0.0008318,0.0008318,0.0008318
61,1376.49,0.81854,1.41967,0.60591,1.11621,0.95031,0.80892,0.88365,0.67917,0.94657,0.80573,0.87514,0.63245,0.86112,1.39036,0.59182,1.14762,0.000812,0.000812,0.000812
62,1399.03,0.82894,1.41948,0.61898,1.13085,0.94222,0.77905,0.86952,0.65529,0.90883,0.81529,0.87348,0.61186,0.88654,1.39064,0.62453,1.15444,0.0007922,0.0007922,0.0007922
63,1421.44,0.81044,1.38867,0.59677,1.1214,0.90854,0.80255,0.87277,0.66902,0.91059,0.80573,0.87086,0.62363,0.86124,1.37021,0.59395,1.1447,0.0007724,0.0007724,0.0007724
64,1443.8,0.80282,1.37129,0.5991,1.11392,0.91647,0.80573,0.88519,0.67217,0.91238,0.79585,0.87194,0.62695,0.8611,1.39391,0.58532,1.13598,0.0007526,0.0007526,0.0007526
65,1466.38,0.81226,1.41439,0.61,1.12768,0.91957,0.80892,0.87612,0.66967,0.92632,0.80084,0.86503,0.60871,0.86942,1.43883,0.59507,1.13724,0.0007328,0.0007328,0.0007328
66,1489.08,0.79954,1.39266,0.5987,1.11483,0.92241,0.79299,0.86973,0.67061,0.90169,0.78871,0.85071,0.61429,0.85897,1.40708,0.5945,1.14244,0.000713,0.000713,0.000713
67,1511.43,0.78451,1.3765,0.57889,1.11136,0.93301,0.75404,0.85684,0.63806,0.92517,0.74808,0.84955,0.58875,0.9238,1.45561,0.63511,1.19885,0.0006932,0.0006932,0.0006932
68,1533.87,0.78877,1.36414,0.57783,1.09821,0.91775,0.81727,0.87529,0.67205,0.93263,0.79354,0.86795,0.62921,0.85978,1.36306,0.57662,1.14269,0.0006734,0.0006734,0.0006734
69,1556.2,0.77046,1.36066,0.55655,1.09753,0.88719,0.80148,0.87041,0.66784,0.89371,0.80573,0.86805,0.61724,0.83005,1.39395,0.59234,1.11898,0.0006536,0.0006536,0.0006536
70,1578.6,0.77586,1.3314,0.56329,1.09209,0.91667,0.80577,0.87372,0.67022,0.93644,0.78981,0.86412,0.60918,0.87545,1.43469,0.58631,1.13808,0.0006338,0.0006338,0.0006338
71,1601.15,0.76409,1.34238,0.5561,1.08495,0.86908,0.82453,0.87157,0.66754,0.88871,0.80573,0.8648,0.62231,0.86415,1.37721,0.58934,1.15176,0.000614,0.000614,0.000614
72,1623.43,0.77698,1.36063,0.56872,1.09627,0.89108,0.80772,0.87381,0.63995,0.90498,0.79299,0.85957,0.59364,0.93658,1.43807,0.61395,1.16463,0.0005942,0.0005942,0.0005942
73,1645.78,0.77286,1.33256,0.56113,1.09708,0.92885,0.78981,0.87311,0.6664,0.9136,0.80823,0.85856,0.62437,0.87066,1.37427,0.58573,1.14034,0.0005744,0.0005744,0.0005744
74,1668.19,0.75783,1.34729,0.55346,1.08802,0.92953,0.79618,0.87454,0.66426,0.91378,0.81008,0.85914,0.60373,0.90898,1.43325,0.59098,1.1755,0.0005546,0.0005546,0.0005546
75,1690.53,0.76661,1.34346,0.55834,1.09728,0.90464,0.81573,0.88198,0.6797,0.90686,0.8121,0.87325,0.62955,0.85125,1.35294,0.55448,1.14583,0.0005348,0.0005348,0.0005348
