epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,774.822,0.56244,0.87731,0.64572,0.94444,0.53395,0.37599,0.36322,0.27826,0.55237,0.3851,0.37281,0.26553,1.00335,1.9029,2.01193,1.34329,0.000414041,0.000414041,0.000414041
45,791.829,0.57644,0.93835,0.64705,0.95095,0.39692,0.37671,0.34429,0.26007,0.42613,0.39234,0.3585,0.25583,1.09112,2.03546,2.17535,1.41362,0.000411437,0.000411437,0.000411437
46,808.944,0.55667,0.91304,0.64227,0.94616,0.47368,0.37133,0.39112,0.28819,0.47857,0.36811,0.39137,0.28286,1.01037,1.9872,2.03805,1.32319,0.000408834,0.000408834,0.000408834
47,826.18,0.55348,0.87925,0.62665,0.93904,0.48151,0.36803,0.39175,0.30453,0.49272,0.37381,0.39756,0.30226,1.0074,2.14739,2.21033,1.31632,0.00040623,0.00040623,0.00040623
48,843.587,0.55348,0.86471,0.63177,0.93978,0.37399,0.42496,0.37262,0.28713,0.37688,0.4298,0.3781,0.28207,0.99393,1.96316,1.99823,1.32273,0.000403626,0.000403626,0.000403626
49,860.586,0.54043,0.88964,0.5943,0.92846,0.35706,0.41693,0.36732,0.27442,0.37319,0.4346,0.38084,0.27104,1.03477,1.9614,2.21621,1.37676,0.000401022,0.000401022,0.000401022
50,877.81,0.54441,0.88374,0.59978,0.94181,0.38416,0.41109,0.36439,0.27339,0.39367,0.41931,0.37493,0.27084,1.02453,2.10435,2.15065,1.35557,0.000398419,0.000398419,0.000398419
51,894.82,0.54386,0.87017,0.58632,0.93562,0.43888,0.40346,0.39076,0.29476,0.44152,0.40581,0.3958,0.28217,1.01663,2.03752,2.15049,1.31341,0.000395815,0.000395815,0.000395815
52,911.996,0.54286,0.8647,0.59096,0.93426,0.50038,0.39109,0.38867,0.29494,0.49908,0.39062,0.38797,0.28445,0.97132,2.19007,2.13392,1.31067,0.000393211,0.000393211,0.000393211
53,929.007,0.53999,0.85733,0.58915,0.93215,0.52231,0.37669,0.39408,0.30681,0.53257,0.38562,0.40313,0.2991,0.98904,2.08046,1.97623,1.31246,0.000390608,0.000390608,0.000390608
54,946.148,0.52981,0.85935,0.55838,0.92248,0.42108,0.39543,0.34423,0.2488,0.43144,0.39956,0.35113,0.25037,1.08307,2.09903,2.34915,1.4054,0.000388004,0.000388004,0.000388004
55,963.418,0.53344,0.83635,0.55631,0.92515,0.49088,0.38433,0.38542,0.30037,0.50229,0.39363,0.39839,0.2955,1.00537,1.98302,2.1318,1.34176,0.0003854,0.0003854,0.0003854
56,980.408,0.52759,0.82499,0.54576,0.92641,0.40237,0.41629,0.36763,0.28151,0.56614,0.37435,0.37865,0.27462,0.99327,1.92297,2.09285,1.3543,0.000382796,0.000382796,0.000382796
57,997.624,0.51663,0.84091,0.55274,0.92138,0.38591,0.4222,0.35329,0.27184,0.43761,0.38892,0.36678,0.26608,0.99627,2.00326,2.33679,1.35824,0.000380193,0.000380193,0.000380193
58,1014.62,0.50993,0.79482,0.53167,0.92087,0.45775,0.35402,0.35108,0.26939,0.46662,0.36128,0.3605,0.2586,1.02179,2.14213,2.1657,1.38217,0.000377589,0.000377589,0.000377589
59,1031.76,0.51612,0.81659,0.54467,0.92509,0.52136,0.38827,0.35996,0.27133,0.51981,0.38951,0.36567,0.26629,1.01849,2.08716,2.19457,1.32868,0.000374985,0.000374985,0.000374985
